area,fecha
177337114.69586623,2013-03-30
297036933.6841212,2013-04-23
275380693.1849462,2013-05-25
271204738.64538765,2013-06-10
277949211.04509616,2013-06-26
274223636.8004292,2013-07-12
276342784.46910447,2013-07-28
1706926.2947301632,2013-08-13
68871959.6663203,2013-08-29
194934713.00808063,2013-09-14
282327084.0591816,2013-10-16
215032344.0734328,2013-11-01
103873716.87543146,2013-11-17
4864849.595730723,2013-12-03
335255032.64539224,2014-01-04
1774767.7418388138,2014-01-20
147229072.52704778,2014-02-05
279337712.54775375,2014-03-09
26994.63389644865,2014-03-25
278681649.0805829,2014-04-10
192171866.6541259,2014-05-28
253152165.38927293,2014-06-13
29039645.93160331,2014-06-29
233452853.24626,2014-07-15
276452549.47957873,2014-07-31
544476.9929197747,2014-08-16
275738046.8600089,2014-09-01
267194759.54762283,2014-09-17
279727249.9728886,2014-10-03
30526241.707744207,2014-10-19
100037569.62791567,2014-11-20
282339026.1736713,2014-12-06
333308809.73432666,2014-12-22
331485816.18723357,2015-01-07
291048991.1215262,2015-02-08
267806128.4591614,2015-02-24
262558684.24867046,2015-03-12
279330424.07264894,2015-03-28
276497661.37275,2015-04-13
271370541.68709606,2015-05-15
286353216.3379351,2015-05-31
261067170.08332178,2015-06-16
269952694.9928104,2015-07-18
114539149.7947948,2015-08-03
278913761.2058354,2015-09-20
299929307.6128124,2015-10-06
333687645.1929533,2015-10-22
137989662.1899154,2015-11-07
279291698.0463033,2015-11-23
171683447.12466916,2015-12-09
33230739.671256848,2015-12-25
74372468.33445063,2016-03-30
329813626.53200835,2016-05-01
18526676.410562944,2016-05-17
281539720.65054893,2016-06-02
267030046.24796247,2016-06-18
246854948.43534377,2016-07-04
154833549.87086147,2016-07-20
145568155.23338377,2016-08-05
254083100.5895738,2016-08-21
275654375.5326004,2016-09-06
177122414.4537292,2016-09-22
287276254.6501882,2016-10-08
236572067.17660096,2016-10-24
237885167.6404721,2016-11-09
277058817.23831946,2016-11-25
326719717.99662846,2016-12-11
305361589.2154469,2017-01-12
282119236.4452692,2017-03-01
278491819.99120486,2017-03-17
273355161.7397964,2017-04-02
256679067.92836264,2017-04-18
245324915.58167627,2017-05-04
225058109.38200897,2017-05-20
275790302.4852066,2017-06-21
277097814.4757322,2017-08-08
254753404.47523808,2017-08-24
200502829.80697554,2017-09-25
166845721.166689,2017-10-11
305788759.79308283,2017-10-27
291937072.6743253,2017-11-12
291560139.46704626,2017-11-28
178235213.4114577,2017-12-30
295622051.1794996,2018-01-15
288303472.51160806,2018-01-31
191082827.85633335,2018-03-04
280175419.3167686,2018-04-05
281657641.336363,2018-04-21
39599.51633154182,2018-05-07
211541992.53258052,2018-05-23
1812519.0117214457,2018-06-08
271653390.299276,2018-06-24
266065430.05440623,2018-07-10
274880519.50566745,2018-07-26
9526123.13413782,2018-08-11
250320470.47659618,2018-08-27
268863773.4842082,2018-09-12
283011822.20102733,2018-09-28
1799.5847432510927,2018-10-14
42793331.99170156,2018-10-30
325968505.3303486,2019-01-02
79184.7684279494,2019-01-18
277156991.70827264,2019-02-03
60588492.56519182,2019-02-19
249444352.09243047,2019-03-07
277134793.32116413,2019-03-23
559726.3160117837,2019-04-08
226190867.9178211,2019-05-10
272293516.8088916,2019-05-26
270913813.13503134,2019-06-27
52774041.12780204,2019-07-13
273147198.6049092,2019-07-29
275973034.620206,2019-08-14
275592362.7683487,2019-08-30
78125034.3893156,2019-09-15
38338732.20134244,2019-10-01
305249678.3606792,2019-10-17
326561459.1777929,2019-11-02
223937843.42093596,2019-11-18
324264903.87528497,2020-01-05
295307290.9084808,2020-02-06
290865952.3469599,2020-02-22
281908695.61835855,2020-04-26
4058545.1485370575,2020-05-12
288580604.1934227,2020-05-28
228440100.34784093,2020-06-13
253917093.5569596,2020-06-29
167571771.2330138,2020-07-15
270438667.16250145,2020-07-31
278332520.8457767,2020-08-16
127362731.99986276,2020-10-03
241334603.2948994,2020-10-19
295626814.5994471,2020-11-20
253655160.65830752,2020-12-06
314376618.09179395,2020-12-22
296568812.31898797,2021-01-23
22552928.460002407,2021-03-12
277106914.51997894,2021-03-28
68732379.43172635,2021-04-13
285895820.08081937,2021-04-29
53185999.80618554,2021-05-31
158035705.7913294,2021-06-16
215483592.6711977,2021-07-02
275683248.9567565,2021-07-18
29877288.466995522,2021-08-19
155821694.3198195,2021-09-04
271154432.6211212,2021-09-20
285255701.76106536,2021-10-06
6298.756331635639,2021-10-22
320619817.0047902,2021-11-07
270523279.2775457,2021-12-09
5399.407440778799,2021-12-25
251922153.28498694,2022-01-10
290224654.3310709,2022-01-26
278786194.2571838,2022-02-11
66335229.97338881,2022-02-27
177500328.94680053,2022-03-31
277489305.65664506,2022-04-16
3609177.6346255667,2022-05-02
316650468.21550745,2022-05-18
293415570.9649046,2022-06-03
128254903.7049747,2022-06-19
266715837.6856186,2022-07-05
274570988.33768207,2022-07-21
276088178.55925506,2022-08-06
277154533.6510445,2022-08-22
178963523.84082735,2022-09-07
84776131.03012264,2022-09-23
239727933.5705455,2022-10-09
1716813.2121744994,2022-10-25
219333641.66210538,2022-11-10
29703756.482560847,2022-11-26
297672292.5973753,2022-12-28
1094297.484817774,2023-01-13
37539477.112176225,2023-01-29
157692514.42493522,2023-02-14
1846554.6705593802,2023-03-02
278188559.77298534,2023-04-03
209247262.93776703,2023-04-19
201401880.723482,2023-05-05
267532806.28394017,2023-05-21
142279059.2920955,2023-06-06
282882377.3072921,2023-06-22
276993422.7450849,2023-07-08
1744715.701386053,2023-07-24
224774693.3418376,2023-08-09
230660453.79203144,2023-08-25
229058060.7713892,2023-09-10
233359052.56758732,2023-09-26
290911234.52795565,2023-10-12
332785254.2730267,2023-10-28
116098.43903223658,2023-11-13
64718793.63534363,2023-11-29
345543028.890743,2023-12-15
294171459.502005,2024-02-01
15297.035287070088,2024-02-17
31938362.019363973,2024-03-20
248745698.8284886,2024-04-21
316972557.2236236,2024-05-07
197276878.84756583,2024-05-23
628061.314423169,2024-06-08
212566714.6129276,2024-06-24
261152947.0456655,2024-07-10
276642508.41205406,2024-07-26
277846518.9046351,2024-08-11
261429975.55476558,2024-08-27
291664244.24554646,2024-09-28
27966607.198390447,2024-10-30
29203256.4325395,2024-12-01
114396083.55531023,2024-12-17
125371476.39835988,2025-01-02
374325.3921195837,2025-01-18
289179827.5892543,2025-02-03
268448081.77938724,2025-04-08
281013294.8344974,2025-04-24
5758811.677881542,2025-05-10
296832693.2300855,2025-05-26
276879209.5235176,2025-06-27
280244642.7730758,2025-07-13
