fecha,m
2013-03-30,17.776444459999993
2013-04-23,19.22226691999998
2013-05-25,18.25838528
2013-06-10,24.133961659999983
2013-06-26,26.000200579999984
2013-07-12,31.01785393999998
2013-07-28,28.944824809999986
2013-08-29,16.576719439999977
2013-10-16,22.999179019999985
2013-11-01,12.362300779999998
2014-01-04,9.644974879999978
2014-02-05,9.973104799999987
2014-03-09,14.635284079999991
2014-04-10,19.998157459999987
2014-05-28,21.28675099999998
2014-07-15,29.144778979999984
2014-07-31,27.374244619999985
2014-09-01,27.41184283999999
2014-10-03,24.66204574999999
2014-12-06,9.224558419999994
2014-12-22,10.472135719999983
2015-01-07,8.828068099999996
2015-02-08,4.92468925999998
2015-03-28,15.438518779999981
2015-04-13,18.285729439999983
2015-05-31,26.34883861999998
2015-06-16,24.540706040000003
2015-07-18,30.88455116
2015-09-20,23.197424179999985
2015-10-06,21.64906112
2015-10-22,17.034734119999996
2015-11-23,8.359799359999982
2015-12-25,7.556564659999992
2016-05-01,13.633804220000002
2016-06-02,23.412759440000002
2016-06-18,21.888322520000003
2016-08-21,27.910873759999987
2016-09-06,30.323995879999984
2016-10-08,21.905412619999993
2016-10-24,17.246651359999987
2016-11-25,11.282206459999998
2016-12-11,10.00044896
2017-01-12,9.709917259999997
2017-03-01,14.290064059999992
2017-03-17,16.744202419999993
2017-04-18,23.142735859999988
2017-05-04,19.881944779999998
2017-06-21,30.966583639999982
2017-08-08,27.61350601999999
2017-08-24,29.03882035999999
2017-09-25,25.518259759999978
2017-10-27,20.705687600000005
2017-11-12,13.88331968
2017-11-28,9.964559749999992
2017-12-30,10.67379889999998
2018-01-15,6.9173949199999925
2018-01-31,9.957723709999996
2018-03-04,13.199715679999997
2018-04-05,18.200278940000004
2018-04-21,21.22180861999999
2018-05-23,24.725279119999982
2018-06-24,29.356696220000003
2018-07-10,29.39771245999998
2018-07-26,30.61110955999999
2018-08-27,28.204823479999988
2018-09-28,24.280936519999983
2019-01-02,8.270930839999977
2019-03-07,15.47269897999999
2019-03-23,16.516904089999983
2019-05-10,22.161764119999987
2019-05-26,20.934694939999986
2019-06-27,26.834197459999984
2019-07-29,26.99142637999998
2019-08-14,27.917709799999983
2019-08-30,30.094988540000003
2019-10-17,19.317971479999983
2019-11-02,20.75012185999998
2019-11-18,10.082481439999981
2020-01-05,7.5018763399999955
2020-02-06,11.535139939999993
2020-02-22,13.44068609
2020-04-26,21.652479139999997
2020-06-29,31.451942479999985
2020-07-15,22.308738979999987
2020-07-31,30.091570519999976
2020-08-16,29.325934039999993
2020-10-03,17.39020819999999
2020-10-19,14.31057217999998
2020-11-20,10.812228709999985
2020-12-06,8.927190679999995
2020-12-22,12.006826700000005
2021-01-23,9.439893679999983
2021-03-28,17.55427315999998
2021-04-29,19.74522397999999
2021-05-31,18.753998179999996
2021-07-02,28.491937159999992
2021-07-18,28.310782099999983
2021-09-04,27.39817076
2021-09-20,20.48351629999999
2021-10-06,20.281853119999994
2021-11-07,10.680634940000004
2021-12-09,6.913976899999994
2022-01-26,7.976981120000005
2022-02-11,11.890614019999987
2022-03-31,9.094673659999984
2022-04-16,20.32286936
2022-05-18,25.275580339999976
2022-06-03,28.030504460000003
2022-07-05,31.29471355999999
2022-07-21,32.829404539999985
2022-08-06,31.13406662
2022-08-22,28.878173419999996
2022-09-07,28.570551620000003
2022-10-09,22.134419960000002
2022-11-10,17.63288761999999
2022-12-28,11.83592569999999
2023-02-14,9.836383999999981
2023-04-03,14.577177739999996
2023-04-19,17.164618879999978
2023-05-05,20.61340106
2023-05-21,21.24231673999998
2023-06-22,29.41480256
2023-07-08,30.604273519999992
2023-08-09,27.329810359999982
2023-08-25,30.026628139999985
2023-09-10,26.919647959999992
2023-09-26,24.674008819999983
2023-10-12,24.096363440000005
2023-10-28,19.76573209999998
2023-11-29,13.24414994
2023-12-15,10.106407579999996
2024-02-01,12.321284539999994
2024-04-21,19.43760218
2024-05-07,21.324349219999988
2024-06-24,26.72823883999999
2024-07-10,29.489998999999983
2024-07-26,30.600855499999994
2024-08-11,31.858686859999978
2024-08-27,29.356696220000003
2024-09-28,19.068456019999985
2025-02-03,9.374951299999992
2025-04-08,20.14171429999999
2025-04-24,20.73132274999999
2025-05-26,25.57978412
2025-06-27,29.961685759999995
2025-07-13,27.227269759999984
